sid,title,authors,year,journal,tier,pyramid,category,model,peer_reviewed,doi,pmid,pmcid,finding,abstract,ai_intervention,ai_target,ai_species,ai_effect,ai_dose,ai_samplesize,ai_effectsize,ai_limitations,atlas_url
SONH2026,Urolithin A activates mitophagy via the AMPK-mTOR axis and modulates the gut-ceramide axis to ameliorate cardiac remodeling in HFpEF,"Hangyul Song, Chahyeon Yun, Yunju Choi, Wooju Jeong, Yumin Kim, Jaeyoung Kim, Ju-Yeon Lee, Dongryeol Ryu, Sang-Wook Park, Chang-Myung Oh",2026,Experimental and Molecular Medicine,C - Animal,4 - Animal Study,Animal,Mouse (HFpEF two-hit model),Yes,10.1038/s12276-026-01776-2,42432192,,"Urolithin A ameliorates HFpEF cardiac remodeling in mice by activating AMPK and inhibiting mTOR to restore mitophagic flux, while simultaneously remodeling the gut microbiome-ceramide axis to reduce lipotoxic stress.
","In a two-hit HFpEF mouse model (high-fat diet + L-NAME), urolithin A (UA) alleviated diastolic dysfunction, cardiac hypertrophy, and fibrosis. UA activated AMPK signaling while inhibiting mTOR, promoting ULK1-dependent autophagy initiation and restoring impaired mitophagic flux. Multi-omics revealed UA remodels the gut microbiome-ceramide axis, reducing circulating ceramide accumulation and lipotoxic stress. Single-nucleus transcriptomics in human iPSC-derived cardiomyocytes confirmed attenuation of fibrosis-related cellular programming.",Urolithin A (gut microbiome-derived compound),AMPK / mTOR / ULK1 / mitophagy / ceramide axis,Mouse,"Improved diastolic function, reduced cardiac hypertrophy and fibrosis via mitophagy restoration; reduced ceramide accumulation",,,,,https://mtor-atlas.org/study/SONH2026/
LANDOAS2026,Does the duration of exposure to everolimus influence the occurrence of chronic lung allograft dysfunction?,Landoas A; Perrier Q; Falque L et al.,2026,Transplant Immunology,B - Human,3 - Human Observational,Human,Human (single-centre retrospective observational),Yes,10.1016/j.trim.2026.102436,,,"In lung transplant recipients, later introduction of everolimus and a greater number of treatment interruptions were both risk factors for chronic lung allograft dysfunction — suggesting early, uninterrupted mTOR inhibition is protective.
","Everolimus has been incorporated into the immunosuppressive management of lung transplant patients. Due to its anti-proliferative properties it is being studied in the context of chronic lung allograft dysfunction (CLAD). A retrospective single-centre observational study of lung transplant patients between January 2000 and August 2021 treated with everolimus during follow-up. The timing of everolimus introduction was identified as a risk factor for CLAD (OR 1.069, 95% CI 1.017-1.123), as was the number of everolimus discontinuations (OR 12.660, 95% CI 1.025-156.329). The study suggests a beneficial role of everolimus in preventing CLAD, particularly when introduced early and with minimal treatment interruptions. Lung function stability was maintained.",Everolimus,mTOR,Human,Early introduction and fewer interruptions associated with lower CLAD risk; lung function stability maintained,,,,,https://mtor-atlas.org/study/LANDOAS2026/
TIW2026,"Firefox, a protein encoded by circular RNA circPVT1, is essential for MYC-driven oncogenesis","Tiwari A, Paithane U, Tashiro K, Hall B, Friedlein J, Saraswat M, Saulnier O, Barbosa K, Trinh Q, Bagchi A, et al.",2026,Genes & Development,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human MYC-amplified cancer cell lines; xenograft mouse models,Yes,10.1101/gad.353355.125,42618323,,"A micropeptide (Firefox/FFX) encoded by the circular RNA circPVT1 stimulates AKT-mTORC1 signaling and cap-dependent translation to sustain MYC protein abundance and transcriptional output. FFX depletion reduces MYC levels and impairs tumor growth in MYC-amplified xenograft models, identifying an mTORC1-linked vulnerability in MYC-driven cancers.
",,,,,,,,,,https://mtor-atlas.org/study/TIW2026/
MAR2026,EVERolimus effectiveness after proGREssion on ENdocrine therapy plus CDK4/6 inhibitor for ER-positive/HER2-negative advanced breast cancer: EVERGREEN study,"Diogo Martins-Branco, Soraia Lobo-Martins, Philippe Aftimos, Bernardo Pereira, Leonor Vasconcelos de Matos, Leonor Fernandes, Guilherme Nader-Marta, Michel Moreau, Donatienne Taylor, Francois P Duhoux, Evandro de Azambuja",2026,Breast Cancer Research and Treatment,B - Human,3 - Human Observational,Human,Human (multicenter retrospective cohort),Yes,10.1007/s10549-026-08012-5,42429895,,"Everolimus added to endocrine therapy provided modest but statistically significant PFS benefit (5.0 vs 4.3 months; HR 0.68) in ER+/HER2- advanced breast cancer post-CDK4/6 inhibitor progression, without demonstrable OS benefit, supporting selective use. Retrospective and non-randomised, so treatment-selection bias cannot be excluded.
","Multicentre, international, retrospective quasi-experimental study (n=207 women with ER+/HER2- advanced breast cancer after CDK4/6 inhibitor progression). Everolimus + endocrine therapy (n=150) vs endocrine therapy alone (n=57). Median real-world PFS: 5.0 vs 4.3 months (adjusted HR 0.68, 95% CI 0.47-0.99). Time to everolimus failure: 4.2 months. No significant differences in time to chemotherapy or overall survival. Safety profile consistent with prior reports. Median follow-up 31.8 months.",Everolimus (mTOR inhibitor) + endocrine therapy,mTORC1,Human,Modest PFS improvement (HR 0.68) in post-CDK4/6i ER+ breast cancer; no OS benefit demonstrated,,,,,https://mtor-atlas.org/study/MAR2026/
AYL2015,Architecture of human mTOR complex 1,Aylett CH; Maier T et al.,2015,Science,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Cryo-EM structure,Yes,10.1126/science.aaa3870,26678875,,"Cryo-EM architecture of human mTORC1 reveals its dimeric organization and active site access.
","Target of rapamycin (TOR), a conserved protein kinase and central controller of cell growth, functions in two structurally and functionally distinct complexes: TORC1 and TORC2. Dysregulation of mammalian TOR (mTOR) signaling is implicated in pathologies that include diabetes, cancer, and neurodegeneration. We resolved the architecture of human mTORC1 (mTOR with subunits Raptor and mLST8) bound to FK506 binding protein (FKBP)-rapamycin, by combining cryo-electron microscopy at 5.9 angstrom resolution with crystallographic studies of Chaetomium thermophilum Raptor at 4.3 angstrom resolution. The structure explains how FKBP-rapamycin and architectural elements of mTORC1 limit access to the recessed active site. Consistent with a role in substrate recognition and delivery, the conserved amino-terminal domain of Raptor is juxtaposed to the kinase active site.",Structural (cryo-EM),mTORC1 (mTOR/Raptor/mLST8/FKBP-rapamycin),Cryo-EM structure,Resolves the architecture of human mTORC1 bound to FKBP-rapamycin,,,,,https://mtor-atlas.org/study/AYL2015/
LASSILA2026,Pregnane X receptor-mediated liver growth: a controlled clinical trial in healthy volunteers and identification of the role of AKT-MTOR pathway in mouse.,Lassila P; Karpale M; Kummu O et al.,2026,Archives of Toxicology,B - Human,2 - Human Clinical Trial,Human,"Human controlled clinical trial (n=16); mouse (PXR-humanised, PCN)",Yes,10.1007/s00204-026-04526-5,,,"One week of rifampicin increased the liver volume-to-body-weight ratio by 2.7% in 16 healthy volunteers, and PXR activation enlarged the liver in male mice through the proliferative AKT-MTOR pathway rather than YAP.
","Pregnane X receptor (PXR) is a master xenobiotic nuclear receptor. Activation of PXR has been linked to liver growth in mice, usually via interaction with YAP, but this adaptive response had not been observed in humans. The authors investigated the effect of the human PXR agonist rifampicin on liver size in a controlled clinical trial in healthy volunteers. One-week rifampicin treatment caused a 2.7% mean increase in liver volume-to-body weight ratio without affecting liver fat content (n=16). Pxr mice were transduced with adenovirus carrying murine PXR or GFP and treated with pregnenolone-16alpha-carbonitrile (PCN) for 0-4 days. PCN significantly increased liver size in male mice after 1 day and further after 4 days; no significant enlargement occurred in females. 4-day PCN also improved glucose tolerance in males. RNA-sequencing showed upregulation of proliferation genes, and DigiWest protein profiling and immunoblotting revealed increased AKT-MTOR pathway activity in male mice, with no YAP activation.",Rifampicin (human); pregnenolone-16α-carbonitrile (mouse),PXR; AKT-MTOR; YAP,Human; mouse,2.7% increase in liver volume-to-body-weight ratio in humans; PXR-driven hepatomegaly and improved glucose tolerance in male mice via AKT-MTOR,,,,,https://mtor-atlas.org/study/LASSILA2026/
BAN2014,"Can people with type 2 diabetes live longer than those without? A comparison of mortality in people initiated with metformin or sulphonylurea monotherapy and matched, non-diabetic controls",Bannister CA et al.,2014,"Diabetes, Obesity and Metabolism",B - Human,3 - Human Observational,Human,"Humans, retrospective cohort (n=180,926)",Yes,10.1111/dom.12354,25041462,,"Diabetic patients started on metformin had longer median survival than matched non-diabetic controls without the drug. Retrospective and observational: consistent with a survival benefit, but confounding by indication and healthy-adherer effects cannot be excluded.
","Clinical and observational studies have shown an increased risk of cardiovascular events and death associated with sulphonylureas versus metformin. However, it has never been determined whether this was due to the beneficial effects of metformin or detrimental effects of sulphonylureas. The objective of this study was therefore to compare all-cause mortality in diabetic patients treated first-line with either sulphonylurea or metformin monotherapy with that in matched individuals without diabetes.

We used retrospective observational data from the UK Clinical Practice Research Datalink (CPRD) from 2000. Subjects with type 2 diabetes who progressed to first-line treatment with metformin or sulphonylurea monotherapy were selected and matched to people without diabetes. Progression to all-cause mortality was compared using parametric survival models that included a range of relevant co-variables.

We identified 78,241 subjects treated with metformin, 12,222 treated with sulphonylurea, and 90,463 matched subjects without diabetes. This resulted in a total, censored follow-up period of 503,384 years. There were 7498 deaths in total, representing unadjusted mortality rates of 14.4 and 15.2, and 50.9 and 28.7 deaths per 1000 person-years for metformin monotherapy and their matched controls, and sulphonylurea monotherapy and their matched controls, respectively. With reference to observed survival in diabetic patients initiated with metformin monotherapy [survival time ratio (STR) = 1.0], adjusted median survival time was 15% lower (STR = 0.85, 95% CI 0.81-0.90) in matched individuals without diabetes and 38% lower (0.62, 0.58-0.66) in diabetic patients treated with sulphonylurea monotherapy.

Patients with type 2 diabetes initiated with metformin monotherapy had longer survival than did matched, non-diabetic controls. Those treated with sulphonylurea had markedly reduced survival compared with both matched controls and those receiving metformin monotherapy. This supports the position of metformin as first-line therapy and implies that metformin may confer benefit in non-diabetes. Sulphonylurea remains a concern.",Metformin (vs sulphonylurea) monotherapy,AMPK / mTOR (indirect),"Human – retrospective cohort (n=180,926)",Metformin-treated diabetics had lower all-cause mortality than sulphonylurea users and even matched non-diabetic controls,,,,,https://mtor-atlas.org/study/BAN2014/
KAR2017,Cryo-EM structure of Saccharomyces cerevisiae target of rapamycin complex 2,Karuppasamy M; Schaffitzel C et al.,2017,Nature communications,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Cryo-EM structure,Yes,10.1038/s41467-017-01862-0,29170376,PMC5700991,"Cryo-EM structure of yeast TORC2 reveals its overall architecture and rapamycin insensitivity.
","The target of rapamycin (TOR) kinase assembles into two distinct multiprotein complexes, conserved across eukaryote evolution. In contrast to TOR complex 1 (TORC1), TORC2 kinase activity is not inhibited by the macrolide rapamycin. Here, we present the structure of Saccharomyces cerevisiae TORC2 determined by electron cryo-microscopy. TORC2 contains six subunits assembling into a 1.4 MDa rhombohedron. Tor2 and Lst8 form the common core of both TOR complexes. Avo3/Rictor is unique to TORC2, but interacts with the same HEAT repeats of Tor2 that are engaged by Kog1/Raptor in mammalian TORC1, explaining the mutual exclusivity of these two proteins. Density, which we conclude is Avo3, occludes the FKBP12-rapamycin-binding site of Tor2's FRB domain rendering TORC2 rapamycin insensitive and recessing the kinase active site. Although mobile, Avo1/hSin1 further restricts access to the active site as its conserved-region-in-the-middle (CRIM) domain is positioned along an edge of the TORC2 active-site-cleft, consistent with a role for CRIM in substrate recruitment.",Structural (cryo-EM),TORC2 (Tor2/Lst8/Avo),Cryo-EM structure (S. cerevisiae),"Cryo-EM structure of yeast TORC2, a 1.4-MDa rhombohedron of six subunits",,,,,https://mtor-atlas.org/study/KAR2017/
BAB2025,Restriction of individual branched-chain amino acids has distinct effects on the development and progression of Alzheimer's disease in 3xTg mice,Babygirija R; Lamming DW et al.,2026,Advanced Science,C - Animal,4 - Animal Study,Animal,Mouse (Alzheimer's disease model),Yes,10.1002/advs.202515220,41817439,PMC13248761,"UPDATE (was bioRxiv preprint at seed time, peer-reviewed and published in Advanced Science March 2026). Restricting individual branched-chain amino acids has distinct, sex-specific effects on cognition and AD pathology in 3xTg mice; restriction of isoleucine and valine (but not leucine) promotes metabolic health. Note: the different BCAAs act differentially on mTORC1, which is why single-amino-acid restriction matters.
","Dietary protein regulates metabolic health and aging, with many benefits of a low protein diet resulting from reduced consumption of the three branched-chain amino acids (BCAAs), leucine, isoleucine, and valine. Each BCAA has distinct physiological and molecular effects, and while restriction of protein or all three BCAAs improves cognition in mouse models of Alzheimer's disease (AD), the role of each individual BCAA on AD is unknown. Here, we investigate the impact of restricting leucine, isoleucine, or valine on metabolism, AD pathology, molecular signaling, and cognition in male and female 3xTg AD mice. Mice were fed BCAA-restricted diets for nine months starting at six months of age. Restriction of either isoleucine or valine, but not leucine, improved metabolic health. We observed distinct, BCAA-specific effects on AD pathology, molecular signaling, and gene expression in both sexes as well as shared molecular responses in males. Restricting any BCAA improved short-term memory in males, with isoleucine having the strongest effect, while valine restriction led to the greatest cognitive benefits for females. These findings suggest that targeted BCAA restriction, particularly of isoleucine or valine, may form the basis of a novel sex-specific approach to prevent or delay AD.",Dietary (restriction of individual BCAAs: Leu/Ile/Val),BCAAs / mTORC1,Mouse (3xTg Alzheimer's model),Individual BCAAs have distinct effects on Alzheimer's progression; restriction (notably isoleucine) improves outcomes,"Diets with 67% reduction of isoleucine, leucine, or valine, started at 6 months of age; duration was 9 months for body composition, 3 months for metabolic tests.","3xTg and NTg mice of both sexes; n=5-14 per diet group per sex, varying by experiment.",ValR diet significantly increased energy expenditure in 3xTg females (p<0.05); IleR increased energy expenditure in 3xTg males (p<0.05) and improved glucose tolerance in both sexes (p<0.05).,,https://mtor-atlas.org/study/BAB2025/
CHE2008,TSC-mTOR maintains quiescence and function of hematopoietic stem cells by repressing mitochondrial biogenesis and reactive oxygen species,Chen C; Liu Yu; Liu R; Ikenoue T; Guan KL; Liu Yang; Zheng P,2008,Journal of Experimental Medicine,C - Animal,4 - Animal Study,Animal,Mouse (conditional Tsc1 knockout),Yes,10.1084/jem.20081297,18809716,PMC2556783,"Showed why blood stem cells must keep mTOR LOW. Deleting TSC1 (which unleashes mTOR) drove resting stem cells into rapid division, flooded them with reactive oxygen species, and burned out their ability to self-renew. An antioxidant rescued them. A key link between mTOR, stem-cell exhaustion, and tissue aging.
","The tuberous sclerosis complex (TSC)-mammalian target of rapamycin (mTOR) pathway is a key regulator of cellular metabolism. We used conditional deletion of Tsc1 to address how quiescence is associated with the function of hematopoietic stem cells (HSCs). We demonstrate that Tsc1 deletion in the HSCs drives them from quiescence into rapid cycling, with increased mitochondrial biogenesis and elevated levels of reactive oxygen species (ROS). Importantly, this deletion dramatically reduced both hematopoiesis and self-renewal of HSCs, as revealed by serial and competitive bone marrow transplantation. In vivo treatment with an ROS antagonist restored HSC numbers and functions. These data demonstrated that the TSC-mTOR pathway maintains the quiescence and function of HSCs by repressing ROS production. The detrimental effect of up-regulated ROS in metabolically active HSCs may explain the well-documented association between quiescence and the ""stemness"" of HSCs.",Genetic (Tsc1 conditional knockout),TSC-mTOR / mitochondrial biogenesis / ROS,Mouse (conditional Tsc1 KO),TSC-mTOR maintains hematopoietic stem cell quiescence and function by repressing mitochondrial biogenesis and ROS,Mice (6 wk old) treated with polyinosine-polycytidine (pIpC) every other day for 2 wk to induce Tsc1 deletion.,"Variable, e.g., n=3 to n=10 mice per group depending on the experiment.",Tsc1 deletion reduced quiescent LT-HSCs from ~70% to <15% and increased BrdU incorporation nearly fourfold (from 13% to ~60%); resulted in an ~50% reduction in white blood cell counts (P = 0.001).,It is unlikely that the HSCs in the spleen are fully functional because HSCs have reduced self-renewal when their niche in BM is disrupted.,https://mtor-atlas.org/study/CHE2008/
DEM2014,Regulation of TORC1 in response to amino acid starvation via lysosomal recruitment of TSC2,Demetriades C; Teleman AA et al.,2014,Cell,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1016/j.cell.2014.01.024,24529380,PMC4346203,"Amino-acid starvation recruits TSC2 to the lysosome to inhibit Rheb and TORC1.
","TOR complex 1 (TORC1) is a potent anabolic regulator of cellular growth and metabolism. When cells have sufficient amino acids, TORC1 is active due to its lysosomal localization mediated via the Rag GTPases. Upon amino acid removal, the Rag GTPases release TORC1, causing it to become cytoplasmic and inactive. We show here that, upon amino acid removal, the Rag GTPases also recruit TSC2 to the lysosome, where it can act on Rheb. Only when both the Rag GTPases and Rheb are inactive is TORC1 fully released from the lysosome. Upon amino acid withdrawal, cells lacking TSC2 fail to completely release TORC1 from the lysosome, fail to completely inactivate TORC1, and fail to adjust physiologically to amino acid starvation. These data suggest that regulation of TSC2 subcellular localization may be a general mechanism to control its activity and place TSC2 in the amino-acid-sensing pathway to TORC1.",Biochemical/genetic (Rag / TSC2),TORC1 / Rag GTPases / TSC2,Mammalian cells,Upon amino-acid starvation the Rag GTPases recruit TSC2 to the lysosome to inactivate TORC1,,,,,https://mtor-atlas.org/study/DEM2014/
PEREZ2026,A cross-species drug-discovery platform to accelerate the identification of lifespan-extending interventions,Perez K; Schoenfeldt L; Phelps GB; Parras A; Morin J; Pinto C; Guilmot S; Oliveira T; Silveira M; Dolfi L; Ocampo A,2026,Cell Reports,C - Animal,4 - Animal Study,Animal,"Five model organisms: S. cerevisiae, C. elegans, D. melanogaster, killifish, mice",Yes,10.1016/j.celrep.2026.117897,42671914,,"An integrated high-throughput lifespan-screening platform spanning yeast, nematodes, flies, killifish and mice, evaluating >400 compounds across thousands of conditions using automated imaging and deep-learning death detection. Cross-species integration identifies geroprotectors active in multiple species and shows convergence on known and novel conserved longevity pathways. Methodological infrastructure for the question the Atlas keeps running into: which single-species lifespan results actually generalise. Note the abstract does not name individual hit compounds, so the specific standing of rapamycin/mTOR in this screen cannot be read off the abstract alone.
","We develop an integrated, high-throughput platform to evaluate pharmacological lifespan-extending interventions across five model organisms spanning unicellular to mammalian biology including yeast, nematodes, fruit flies, killifish, and mice. By combining automated imaging, miniaturized assays, and deep-learning-based death detection, we evaluate over 400 compounds across thousands of conditions. In S. cerevisiae, a miniaturized PI/flow cytometry CLS assay enables scalable screening and identifies key assay confounders, while in C. elegans and D. melanogaster, compact imaging platforms coupled to YOLO-based detection provide a no-transfer, high-throughput survival scoring, and capture compound-, diet-, and sex-dependent effects. In killifish, we develop an in-house drug-pellet formulation for standardized oral delivery in large cohorts, and in mice we combine longitudinal lifespan studies with home-cage activity monitoring to assess late-life interventions. Cross-species integration identifies multi-species geroprotectors and reveals convergence on known and novel conserved longevity pathways, illustrating how this scalable framework can prioritize interventions with high translational potential.",>400 small-molecule compounds screened for lifespan extension,Conserved longevity pathways (cross-species geroprotector screen),"Yeast, C. elegans, D. melanogaster, killifish, mouse",Cross-species screening identifies multi-species geroprotectors and reveals convergence on conserved longevity pathways,,,,,https://mtor-atlas.org/study/PEREZ2026/
SAN2010,Ragulator-Rag complex targets mTORC1 to the lysosomal surface and is necessary for its activation by amino acids,Sancak Y; Bar-Peled L; Zoncu R; Markhard AL; Nada S; Sabatini DM,2010,Cell,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human cells + Drosophila,Yes,10.1016/j.cell.2010.02.024,20381137,PMC3024592,"Established WHERE mTORC1 gets switched on: the lysosome surface. Identified Ragulator as the lysosomal dock that recruits the Rag GTPases and drags mTORC1 to the membrane where its activator Rheb lives. Amino acids work by controlling this translocation.
","The mTORC1 kinase promotes growth in response to growth factors, energy levels, and amino acids, and its activity is often deregulated in disease. The Rag GTPases interact with mTORC1 and are proposed to activate it in response to amino acids by promoting mTORC1 translocation to a membrane-bound compartment that contains the mTORC1 activator, Rheb. We show that amino acids induce the movement of mTORC1 to lysosomal membranes, where the Rag proteins reside. A complex encoded by the MAPKSP1, ROBLD3, and c11orf59 genes, which we term Ragulator, interacts with the Rag GTPases, recruits them to lysosomes, and is essential for mTORC1 activation. Constitutive targeting of mTORC1 to the lysosomal surface is sufficient to render the mTORC1 pathway amino acid insensitive and independent of Rag and Ragulator, but not Rheb, function. Thus, Rag-Ragulator-mediated translocation of mTORC1 to lysosomal membranes is the key event in amino acid signaling to mTORC1.",Biochemical/genetic (Ragulator-Rag),Ragulator / Rag / mTORC1 / Rheb,Human cells + Drosophila,The Ragulator-Rag complex targets mTORC1 to the lysosomal surface and is necessary for its activation by amino acids,,,,,https://mtor-atlas.org/study/SAN2010/
ZON2011,mTORC1 senses lysosomal amino acids through an inside-out mechanism that requires the vacuolar H(+)-ATPase,Zoncu R; Bar-Peled L; Efeyan A; Wang S; Sancak Y; Sabatini DM,2011,Science,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human cells + cell-free reconstitution,Yes,10.1126/science.1207056,22053050,PMC3211112,"Showed amino acid sensing starts INSIDE the lysosome: amino acids accumulate in the lumen and the v-ATPase relays that signal outward ('inside-out') to Ragulator-Rag. A surprising twist on where the cell measures its nutrient status.
","The mTOR complex 1 (mTORC1) protein kinase is a master growth regulator that is stimulated by amino acids. Amino acids activate the Rag guanosine triphosphatases (GTPases), which promote the translocation of mTORC1 to the lysosomal surface, the site of mTORC1 activation. We found that the vacuolar H(+)-adenosine triphosphatase ATPase (v-ATPase) is necessary for amino acids to activate mTORC1. The v-ATPase engages in extensive amino acid-sensitive interactions with the Ragulator, a scaffolding complex that anchors the Rag GTPases to the lysosome. In a cell-free system, ATP hydrolysis by the v-ATPase was necessary for amino acids to regulate the v-ATPase-Ragulator interaction and promote mTORC1 translocation. Results obtained in vitro and in human cells suggest that amino acid signaling begins within the lysosomal lumen. These results identify the v-ATPase as a component of the mTOR pathway and delineate a lysosome-associated machinery for amino acid sensing.",Biochemical/genetic (v-ATPase),v-ATPase / Rag-Ragulator / mTORC1,Human cells + cell-free reconstitution,mTORC1 senses lysosomal amino acids through an inside-out mechanism that requires the vacuolar H(+)-ATPase,,,,,https://mtor-atlas.org/study/ZON2011/
ZHANG2026C,"Anti-breast cancer effects of the Xingxiao Pill are associated with inhibition of the ErbB3/PI3K/AKT/mTOR pathway, modulation of amino acid metabolism, and promotion of apoptosis.",Zhang Jingyue; Cheng J; Cao F et al.,2026,Journal of Ethnopharmacology,C - Animal,4 - Animal Study,Animal,Mouse (4T1 subcutaneous model); breast cancer cell lines,Yes,10.1016/j.jep.2026.122321,,,"Xingxiao Pill inhibited 4T1 breast cancer growth in vitro and in vivo by suppressing ErbB3/PI3K/AKT/mTOR signalling and reshaping amino acid metabolism; cinnamic acid and palmitic acid were identified as constituents that bind mTOR.
","The Xingxiao Pill (XXP) is a traditional Chinese medicine formula used in tumour therapy. XXP exhibited proliferation-inhibiting activity against eight breast cancer cell lines and both proliferation-inhibiting and apoptosis-promoting activity against 4T1 cells in vitro and in a 4T1 subcutaneous tumour model in vivo. XXP induced mitochondrial apoptosis via the cytochrome C/caspase-9/caspase-3/PARP cascade. Integrated metabolomic and transcriptomic analyses with WGCNA revealed that XXP reshaped amino acid metabolism through a gene module enriched in ErbB3/PI3K/AKT/mTOR signalling; western blotting showed reduced ErbB3 and PI3K and decreased AKT/mTOR phosphorylation with unchanged total protein. Seven bioactive components were identified by UPLC-MS; cinnamic acid, palmitic acid, eugenol, 11-keto-β-boswellic acid and asiatic acid inhibited 4T1 proliferation, and cinnamic acid and palmitic acid were identified as potential mTOR binders.",Xingxiao Pill (TCM formula); cinnamic acid; palmitic acid,ErbB3/PI3K/AKT/mTOR; amino acid metabolism,Mouse,Inhibited proliferation and induced caspase-mediated apoptosis; reduced AKT/mTOR phosphorylation,,,,,https://mtor-atlas.org/study/ZHANG2026C/
ROG2019,Structural basis for the docking of mTORC1 on the lysosomal surface,Rogala KB; Sabatini DM et al.,2019,Science,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Cryo-EM structure,Yes,10.1126/science.aay0166,31601708,PMC7176403,"Structure shows how mTORC1 docks onto the Rag-Ragulator lysosomal scaffold.
","The mTORC1 (mechanistic target of rapamycin complex 1) protein kinase regulates growth in response to nutrients and growth factors. Nutrients promote its translocation to the lysosomal surface, where its Raptor subunit interacts with the Rag guanosine triphosphatase (GTPase)-Ragulator complex. Nutrients switch the heterodimeric Rag GTPases among four different nucleotide-binding states, only one of which (RagA/B GTP-RagC/D GDP) permits mTORC1 association. We used cryo-electron microscopy to determine the structure of the supercomplex of Raptor with Rag-Ragulator at a resolution of 3.2 angstroms. Our findings indicate that the Raptor alpha-solenoid directly detects the nucleotide state of RagA while the Raptor claw threads between the GTPase domains to detect that of RagC. Mutations that disrupted Rag-Raptor binding inhibited mTORC1 lysosomal localization and signaling. By comparison with a structure of mTORC1 bound to its activator Rheb, we developed a model of active mTORC1 docked on the lysosome.",Structural (cryo-EM),mTORC1 / Raptor / Rag-Ragulator,Cryo-EM structure,Structure reveals how mTORC1 (via Raptor) docks on the Rag-Ragulator at the lysosomal surface,,,,,https://mtor-atlas.org/study/ROG2019/
WOLF2017,The Dawn of the Age of Amino Acid Sensors for the mTORC1 Pathway,Wolfson RL; Sabatini DM et al.,2017,Cell metabolism,D - Mechanistic/Review,Narrative Review,Review,Review,Yes,10.1016/j.cmet.2017.07.001,28768171,PMC5560103,"Review of the newly discovered amino-acid sensors feeding into mTORC1.
","The mechanistic target of rapamycin complex 1 (mTORC1) is a master regulator of cell growth that responds to a diverse set of environmental inputs, including amino acids. Over the past 10 years, a number of proteins have been identified that help transmit amino acid availability to mTORC1. However, amino acid sensors for this pathway have only recently been discovered. Here, we review these recent advances and highlight the variety of unexplored questions that emerge from the identification of these sensors.",Not applicable (review),mTORC1 amino-acid sensors,Review,Reviews the recently discovered amino-acid sensors for the mTORC1 pathway,,,,,https://mtor-atlas.org/study/WOLF2017/
LIX2010,mTOR-dependent synapse formation underlies the rapid antidepressant effects of NMDA antagonists,Li N; Duman RS et al.,2010,Science,C - Animal,4 - Animal Study,Animal,Rat,Yes,10.1126/science.1190287,20724638,PMC3116441,"Ketamine's rapid antidepressant action requires mTOR-dependent synaptogenesis in prefrontal cortex.
","The rapid antidepressant response after ketamine administration in treatment-resistant depressed patients suggests a possible new approach for treating mood disorders compared to the weeks or months required for standard medications. However, the mechanisms underlying this action of ketamine [a glutamate N-methyl-D-aspartic acid (NMDA) receptor antagonist] have not been identified. We observed that ketamine rapidly activated the mammalian target of rapamycin (mTOR) pathway, leading to increased synaptic signaling proteins and increased number and function of new spine synapses in the prefrontal cortex of rats. Moreover, blockade of mTOR signaling completely blocked ketamine induction of synaptogenesis and behavioral responses in models of depression. Our results demonstrate that these effects of ketamine are opposite to the synaptic deficits that result from exposure to stress and could contribute to the fast antidepressant actions of ketamine.",Ketamine (NMDA-receptor antagonist),mTOR,Rat,mTOR-dependent synapse formation underlies the rapid antidepressant effects of NMDA antagonists (ketamine),"Ketamine 5-10 mg/kg (systemic); Ro 25-6981 10 mg/kg (systemic); Rapamycin, U0126, LY294002 (ICV infusion)",,"Ketamine (5-10 mg/kg) rapidly activated mTOR signaling, increased synaptic proteins (PSD95, GluR1, synapsin I), increased spine density, significantly increased EPSC frequency and amplitude, and produced rapid antidepressant effects in FST, LH, and NSFT. These effects were blocked by rapamycin. Ro 25-6981 (10 mg/kg) showed similar effects.","The mechanisms underlying the induction of mTOR signaling are unclear. Ketamine is a psychotomimetic drug with abuse potential, and a more selective agent would be desirable for clinical antidepressant use.",https://mtor-atlas.org/study/LIX2010/
